Category,First Word Letters,Number of Words,Phrase,Total Number of Letters
Around the House,11,2,Hand-Knotted Rug,14
Around the House,8,3,Handmade Holiday Decorations,26
Around the House,8,3,Handmade Marbled Napkins,22
Around the House,8,3,Handmade Scented Soaps,20
Around the House,11,3,Hand-Painted Silk Fans,19
Around the House,9,3,Handwoven Bamboo Mats,19
Around the House,9,2,Handwoven Blanket,16
Around the House,9,2,Handwoven Hamper,15
Around the House,9,2,Handwoven Hampers,16
Around the House,9,2,Handwoven Lounger,16
Around the House,9,3,Handwoven Wicker Basket,21
Around the House,9,3,Hand-Woven Wicker Basket,21
Around the House,9,3,Handwoven Wicker Baskets,22
Around the House,9,3,Handwoven Wool Blankets,21
Around the House,5,2,Handy Toolbox,12
Around the House,5,2,Handy Tools,10
Around the House,7,2,Hanging Lamp,11
Around the House,7,2,Hanging Mirror,13
Around the House,7,3,Hanging Wall Basket,17
Around the House,4,2,Hard Cushion,11
Around the House,8,2,Hardwood Floors,14
Around the House,2,2,Hd Receiver,10
Around the House,6,3,Heated Towel Bar,14
Around the House,5,2,Heavy Coat,9
Around the House,5,4,Heavy -Duty Trash Bags,18
Around the House,9,3,Heavy-Duty Trash Bags,18
Around the House,5,2,Hedge Clippers,13
Around the House,5,2,Hedge Trimmer,12
Around the House,5,6,Hedge Trimmer With Sweeper Tool Attachment,37
Around the House,6,3,Herbal Body Wash,14
Around the House,4,3,High Definition Speakers,22
Around the House,4,4,High Table With Barstools,22
Around the House,4,4,High Thread Count Sheets,21
Around the House,4,3,High Thread-Count Sheets,21
Around the House,14,3,High-Definition Plasma Tv,22
Around the House,14,2,High-Definition Speakers,22
Around the House,15,2,High-Thread-Count Sheets,21
Around the House,5,2,Hobby Room,9
Around the House,11,2,Hole-Punched Paper,16
Around the House,7,3,Holiday Place Setting,19
Around the House,13,2,Holiday-Themed Sweaters,21
Around the House,4,2,Home Essentials,14
Around the House,4,6,Home Movies On Sixteen Millimeter Film,33
Around the House,4,5,Home Movies On Sixteen-Millimeter Film,33
Around the House,4,3,Home Soda Maker,13
Around the House,4,3,Home Theater System,17
Around the House,8,2,Homemade Cleaners,16
Around the House,8,3,Homemade Holiday Decorations,26
Around the House,8,3,Homemade Holiday Decorations?,27
Around the House,10,2,Home-Office Furniture,19
Around the House,8,2,Homework Station,15
Around the House,6,3,Hooded Down Jacket,16
Around the House,10,3,Horizontal Metal Shed,19
Around the House,3,2,Hot Comb,7
Around the House,3,3,Hot Glue Gun,10
Around the House,3,3,Hot Steam Iron,12
Around the House,3,3,Hot Water Heater,14
Around the House,10,1,Humidifier,10
Around the House,8,2,Hydrogen Peroxide,16
Around the House,12,2,Hydrotherapy Shower,18
Around the House,3,7,I'll Try Anything Once Upon A Time,27
Around the House,3,4,Ice Bucket And Tongs,17
Around the House,11,3,Illuminated Desktop Globe,23
Around the House,7,2,Incense Burner,13
Around the House,10,4,Industrial Strength Rubber Gloves,30
Around the House,18,3,Industrial-Strength Rubber Gloves,30
Around the House,8,3,Inedible Dining Experience,24
Around the House,6,2,Insect Repellent,15
Around the House,9,2,Insulated Boots,14
Around the House,9,2,Insulated Curtain,16
Around the House,9,2,Insulated Curtains,17
Around the House,9,2,Insulated Overcoat,17
Around the House,11,2,Interactive Cooktop,18
Around the House,4,3,Iron Coat Rack,12
Around the House,7,2,Ironing Board,12
Around the House,5,2,Jewel Box,8
Around the House,7,2,Jewelry Box,10
Around the House,7,2,Jewelry Holder,13
Around the House,7,2,Jewelry Organizer,16
Around the House,4,2,Junk Drawer,10
Around the House,8,2,Keepsake Collection,18
Around the House,4,2,Keys & Gadgets,11
Around the House,7,2,Kitchen Appliances,17
Around the House,7,2,Kitchen Cabinets,15
Around the House,7,2,Kitchen Counter,14
Around the House,7,2,Kitchen Curtains,15
Around the House,7,2,Kitchen Gadgets,14
Around the House,7,2,Kitchen Hutch,12
Around the House,7,2,Kitchen Island,13
Around the House,7,2,Kitchen Organizers,17
Around the House,7,2,Kitchen Pantry,13
Around the House,7,2,Kitchen Table,12
Around the House,7,2,Kitchen Utensils,15
Around the House,5,2,Kitty Litter,11
Around the House,5,2,Knick Knacks,11
Around the House,11,1,Knickknacks,11
Around the House,10,1,Knicknacks,10
Around the House,4,2,Knit Gloves,10
Around the House,8,2,Knitting Needles,15
Around the House,4,2,Lace Curtains,12
Around the House,4,2,Lace Tablecloth,14
Around the House,6,2,Laptop Computer,14
Around the House,5,3,Large Coffee Table,16
Around the House,13,2,Lattice-Accent Chair,18
Around the House,9,2,Laundered Shirt,14
Around the House,7,2,Laundry Bag,10
Around the House,7,2,Laundry Basket,13
Around the House,7,2,Laundry Baskets,14
Around the House,7,2,Laundry Detergent,16
Around the House,7,4,Laundry Detergent With Bleach,26
Around the House,7,2,Laundry Hamper,13
Around the House,8,4,Lavender Scented Body Lotion,25
Around the House,4,3,Lawn & Leaf Bags,12
Around the House,4,2,Lawn Furniture,13
Around the House,4,2,Lawn Ornaments,13
Around the House,4,2,Lawn Sprinkler,13
Around the House,7,2,Leaking Faucet,13
Around the House,5,2,Leaky Faucet,11
Around the House,7,2,Leather Chair,12
Around the House,7,2,Leather Couch,12
Around the House,7,2,Leather Daybed,13
Around the House,7,2,Leather Lampshade,16
Around the House,7,2,Leather Ottoman,14
Around the House,7,2,Leather Recliner,15
Around the House,7,2,Leather Sofa,11
Around the House,7,2,Leather Wallet,13
Around the House,3,2,Led Flashlight,13
Around the House,3,2,Led Lamp,7
Around the House,3,3,Led Light Bulb,12
Around the House,3,2,Led Nightlight,13
Around the House,12,3,Lemon-Scented All-Purpose Cleaners,30
Around the House,6,2,Letter Opener,12
Around the House,5,2,Light Bulb,9
Around the House,5,2,Light Bulbs,10
Around the House,5,2,Light Fixtures,13
Around the House,5,2,Light Refreshments,17
Around the House,5,2,Light Switch,11
Around the House,5,2,Light Switches,13
Around the House,5,2,Light Windbreaker,16
Around the House,7,3,Lighted Holiday Sculptures,24
Around the House,7,3,Lighted Makeup Mirror,19
Around the House,8,2,Lighting Fixtures,16
Around the House,11,2,Lightweight Blanket,18
Around the House,11,2,Lightweight Jacket,17
Around the House,11,2,Lightweight Sweater,18
Around the House,11,2,Lightweight Towels,17
Around the House,5,2,Linen Closet,11
Around the House,5,3,Linen Dining Chairs,17
Around the House,5,2,Linen Napkins,12
Around the House,5,4,Linen Napkins & Napkin Rings,23
Around the House,5,2,Linen Tablecloth,15
Around the House,8,2,Linoleum Floors,14
Around the House,4,2,Lint Brush,9
Around the House,4,2,Lint Roller,10
Around the House,8,3,Lint-Free Polishing Cloths,23
Around the House,8,4,Lipstick Mascara Powder & Blush,26
Around the House,6,2,Liquid Bleach,12
Around the House,6,3,Liquid Hand Soap,14
Around the House,6,2,Liquid Soap,10
Around the House,6,3,Living Room Drapes,16
Around the House,6,3,Living Room Furniture,19
Around the House,10,2,Living-Room Clock,15
Around the House,10,2,Living-Room Drapes,16
Around the House,7,2,Lobster Pot,10
Around the House,8,2,Lockable Cabinet,15
Around the House,4,3,Long Wool Scarf,13
Around the House,6,2,Loofah Sponge,12
Around the House,6,2,Lounge Chairs,12
Around the House,6,3,Lounge Chairs & Sofas,17
Around the House,8,2,Lounging Pajamas,15
Around the House,4,2,Love Seat,8
Around the House,6,3,Lovely Table Setting,18
Around the House,9,3,Lubricant Eye Drops,17
Around the House,9,2,Luxurious Sheets,15
Around the House,8,2,Magazine Rack,12
Around the House,11,2,Magnificent Centerpiece,22
Around the House,8,3,Mahogany Backgammon Set,21
Around the House,8,3,Mahogany Coffee Table,19
Around the House,8,2,Mahogany Headboard,17
Around the House,6,2,Makeup Brush,11
Around the House,6,2,Makeup Remover,13
Around the House,6,2,Makeup Sponges,13
Around the House,6,2,Manual Toothbrush,16
Around the House,6,2,Marble Bookcase,14
Around the House,6,2,Marble Floors,12
Around the House,6,3,Marble Side Table,15
Around the House,6,3,Marble Table Lamp,15
Around the House,7,2,Marital Aid,10
Around the House,8,2,Maritime Environment,19
Around the House,7,2,Martini Glasses,14
Around the House,7,2,Massage Chair,12
Around the House,8,4,Matching Bathmats & Shower Curtains,30
Around the House,8,4,Matching Couch & Love Seat,21
Around the House,8,2,Matching Gloves,14
Around the House,8,2,Matching Nightstands,19
Around the House,8,4,Matching Towels & Shower Curtains,28
Around the House,8,2,Medicine Chest,13
Around the House,4,2,Memo Pad,7
Around the House,4,4,Memo Pad And Pencil,16
Around the House,10,3,Memory-Foam Pet Mat,16
Around the House,4,3,Men's Dress Watch,14
Around the House,4,3,Men's Plaid Scarf,14
Around the House,4,3,Mesh Laundry Bag,14
Around the House,5,3,Metal Bed Frame,13
Around the House,5,2,Metal Bookshelf,14
Around the House,5,3,Metal Dish Rack,13
Around the House,5,2,Metal Lamps,10
Around the House,5,3,Metal Patio Furniture,19
Around the House,5,2,Metal Toolbox,12
Around the House,5,3,Metal Watering Can,16
Around the House,5,3,Metal Wine Rack,13
Around the House,11,3,Metal-Framed Wall Mirror,21
Around the House,17,1,Metro-Goldwyn-Mayer,17
Around the House,10,2,Microfiber Cloths,16
Around the House,13,2,Microwave-Safe Dish,17
Around the House,11,1,Mini-Chopper,11
Around the House,5,2,Minty Mouthwash,14
Around the House,5,2,Minty Toothpaste,15
Around the House,6,2,Mirror Walls,11
Around the House,6,2,Modern Chandeliers,17
Around the House,6,2,Modern Glassware,15
Around the House,6,3,Modern Home Decor,15
Around the House,6,3,Modern Home Furnishings,21
Around the House,6,4,Modern Lighting & Indoor Lamps,25
Around the House,6,2,Modern Silverware,16
Around the House,6,3,Modern Standing Lamp,18
Around the House,6,3,Modern Wall Clock,15
Around the House,12,3,Moisturizing Body Wash,20
Around the House,12,2,Moisturizing Cream,17
Around the House,12,3,Moisturizing Face Cream,21
Around the House,12,2,Moisturizing Shampoo,19
Around the House,4,4,Mold & Mildew Stain Remover,22
Around the House,11,3,Monogrammed Beach Towels,22
Around the House,11,2,Monogrammed Glassware,20
Around the House,11,3,Monogrammed Note Cards,20
Around the House,11,2,Monogrammed Pillows,18
Around the House,3,2,Mop Bucket,9
Around the House,6,2,Mosaic Table,11
Around the House,7,2,Mounted Lamp,11
Around the House,8,1,Mousepad,8
Around the House,9,1,Mouthwash,9
Around the House,6,2,Moving Boxes,11
Around the House,12,4,Multisurface Cleaner With Vinegar,30
Around the House,6,3,Muscle Tank Top,13
Around the House,5,2,Music Box,8
Around the House,8,2,Mustache Trimmer,15
Around the House,2,4,My Favorite Flannel Pajamas,24
Around the House,2,3,My Favorite Jeans,15
Around the House,2,4,My Favourite Flannel Pajamas,25
Around the House,2,4,My Son's Racecar Bed,16
Around the House,2,3,My Wedding China,14
Around the House,4,2,Nail Clippers,12
Around the House,6,2,Napkin Holder,12
Around the House,4,3,Navy Blue Boots,13
Around the House,8,2,Navy-Blue Boots,13
Around the House,11,2,Needlepoint Pillows,18
Around the House,3,3,New Bath Towels,13
Around the House,3,2,New Cabinets,11
Around the House,3,3,New Desktop Computer,18
Around the House,3,2,New Furniture,12
Around the House,3,3,New Kitchen Appliances,20
Around the House,3,3,New Patio Set,11
Around the House,3,2,New Wardrobes,12
Around the House,3,3,New Window Screens,16
Around the House,3,2,New Wineglasses,14
Around the House,16,2,Newly-Upholstered Armchair,24
Around the House,4,2,Nice Sofa,8
Around the House,5,2,Nifty Tie,8
Around the House,10,1,Nightstand,10
Around the House,11,1,Nightstands,11
Around the House,4,3,Nike Cotton Hoodie,16
Around the House,7,3,Novelty Talking Bottle-Opener,26
Around the House,3,2,Oak Armoire,10
Around the House,3,2,Oak Bookcase,11
Around the House,3,3,Oak Coffee Table,14
Around the House,3,3,Oak Roll-Top Desk,14
Around the House,5,3,Oiled Door Hinges,15
Around the House,7,4,Oil-Free Eye Makeup Remover,23
Around the House,7,3,Oil-Free Eye-Makeup Remover,23
Around the House,3,2,Old Batteries,12
Around the House,3,3,Old Family Keepsakes,18
Around the House,3,3,Old Jigsaw-Puzzle Box,18
Around the House,3,2,Old Photographs,14
Around the House,3,2,Old Shoebox,10
Around the House,3,2,Old Sneakers,11
Around the House,12,2,Old-Fashioned Bathtub,19
Around the House,12,2,Old-Fashioned Decorations,23
Around the House,12,3,Old-Fashioned Window Shutters,26
Around the House,8,3,Olive-Oil Body Wash,16
Around the House,5,4,Oreck Commercial Vacuum Cleaner,28
Around the House,6,4,Oregon Coast Trail Mix,19
Around the House,7,2,Outdoor Firepit,14
Around the House,7,2,Outdoor Furniture,16
Around the House,7,3,Outdoor Garden Furniture,22
Around the House,7,2,Outdoor Pillows,14
Around the House,7,2,Outdoor Rugs,11
Around the House,8,2,Overhead Light,13
Around the House,8,2,Overhead Lights,14
Around the House,9,3,Oversized Accent Ottoman,22
Around the House,9,2,Oversized Bathtub,16
Around the House,9,2,Oversized Windows,16
Around the House,11,2,Overstuffed Chair,16
Around the House,11,2,Overstuffed Couch,16
Around the House,6,2,Oxygen Bleach,12
Around the House,6,3,Packed Storage Closet,19
Around the House,7,3,Painted Ceramic Bowl,18
Around the House,7,3,Painted Ceramic Planters,22
Around the House,7,3,Painted Family Portrait,21
Around the House,4,3,Pair Of Pajamas,13
Around the House,4,3,Pair Of Scissors,14
Around the House,5,2,Paper Napkins,12
Around the House,5,2,Paper Straws,11
Around the House,5,2,Party Napkins,12
Around the House,9,2,Patchwork Bedspread,18
Around the House,9,2,Patchwork Quilt,14
Around the House,5,3,Patio Dining Set,14
Around the House,5,2,Patio Furniture,14
Around the House,5,2,Patio Rug,8
Around the House,9,4,Patterned Fabric Shower Curtain,28
Around the House,9,3,Patterned Love Seat,17
Around the House,9,2,Patterned Rugs,13
Around the House,15,3,Patterned-Fabric Shower Curtain,28
Around the House,5,3,Peace Sign Pendant,16
Around the House,9,2,Peace-Sign Pendant,16
Around the House,5,2,Penny Loafers,12
Around the House,4,3,Pens And Pencils,14
Around the House,6,1,People,6
Around the House,7,2,Persian Rug,10
Around the House,8,2,Personal Computer,16
Around the House,8,3,Personal Robotic Bartender,24
Around the House,12,2,Personalized Stationery,22
Around the House,3,4,Pet Stain & Odor Remover,19
Around the House,4,3,Pet's Water Bowl,13
Around the House,8,2,Phillips Screwdriver,19
Around the House,5,2,Photo Album,10
Around the House,6,2,Picnic Tablecloth,16
Around the House,7,2,Picture Frame,12
Around the House,6,2,Pigeon Pose,10
Around the House,6,2,Pillar Lamp,10
Around the House,9,2,Pillow-Top Mattress,17
Around the House,10,1,Pincushion,10
Around the House,4,3,Pine Jewelry Box,14
Around the House,4,3,Pink Silk Scarf,13
Around the House,5,2,Pizza Cutter,11
Around the House,5,3,Plaid Flannel Shirt,17
Around the House,5,2,Plaid Pajamas,12
Around the House,5,3,Plaid Trench Coat,15
Around the House,5,3,Plaid Wool Blanket,16
Around the House,5,3,Plaid Wool Throw,14
Around the House,5,4,Plant Based Floor Cleaner,22
Around the House,5,2,Plant Stands,11
Around the House,10,3,Plant-Based Floor Cleaner,22
Around the House,7,2,Plastic Bags,11
Around the House,7,3,Plastic Clothes Hangers,21
Around the House,7,2,Plastic Clothespins,18
Around the House,7,2,Plastic Coasters,15
Around the House,7,2,Plastic Comb,11
Around the House,7,3,Plastic Drop Cloth,16
Around the House,7,3,Plastic Shower Caddy,18
Around the House,7,3,Plastic Spray Bottle,18
Around the House,7,3,Plastic Storage Containers,24
Around the House,7,2,Plastic Toothpicks,17
Around the House,10,2,Plate-Glass Window,16
Around the House,8,2,Plumbing Fixtures,16
Around the House,5,2,Plush Bathrobe,13
Around the House,5,2,Plush Carpet,11
Around the House,5,2,Plush Carpeting,14
Around the House,5,2,Plush Seats,10
Around the House,6,2,Pocket Comb,10
Around the House,8,3,Polished Brass Frames,19
Around the House,8,4,Polished Cast Iron Railings,24
Around the House,8,3,Polished Cast-Iron Railings,24
Around the House,13,2,Polished-Brass Frame,18
Around the House,13,2,Polished-Brass Frames,19
Around the House,9,2,Polishing Wax,12
Around the House,6,2,Pompom Beanies,13
Around the House,5,2,Poofy Chair,10
Around the House,3,2,Pop Icon,7
Around the House,9,2,Porcelain Cups,13
Around the House,9,3,Porcelain Night Lights,20
Around the House,9,2,Porcelain Night-Lights,20
Around the House,9,2,Porcelain Vase,13
Around the House,9,2,Porcelain Vases,14
Around the House,5,2,Porch Swing,10
Around the House,5,2,Porch Swings,11
Around the House,8,3,Portable Battery Charger,22
Around the House,8,2,Portable Fan,11
Around the House,8,2,Portable Grill,13
Around the House,8,2,Portable Heater,14
Around the House,8,2,Portable Phonographs,19
Around the House,8,3,Portable Speaker System,21
Around the House,8,2,Portable Speakers,16
Around the House,8,2,Portable Television,18
Around the House,8,4,Portable Wireless Outdoor Speaker,30
Around the House,7,2,Postage Stamp,12
Around the House,9,2,Potpourri Bowl,13
Around the House,5,2,Power Adapter,12
Around the House,5,3,Power Lawn Mower,14
Around the House,5,3,Power Reclining Sofa,18
Around the House,5,2,Power Strip,10
Around the House,8,3,Powerful Dish Detergent,21
Around the House,14,2,Power-Reclining Sofa,18
Around the House,10,3,Pre-Printed Address Labels,23
